"GEO_ID","NAME","S2801_C01_001E","S2801_C01_001M","S2801_C01_002E","S2801_C01_002M","S2801_C01_003E","S2801_C01_003M","S2801_C01_004E","S2801_C01_004M","S2801_C01_005E","S2801_C01_005M","S2801_C01_006E","S2801_C01_006M","S2801_C01_007E","S2801_C01_007M","S2801_C01_008E","S2801_C01_008M","S2801_C01_009E","S2801_C01_009M","S2801_C01_010E","S2801_C01_010M","S2801_C01_011E","S2801_C01_011M","S2801_C01_012E","S2801_C01_012M","S2801_C01_013E","S2801_C01_013M","S2801_C01_014E","S2801_C01_014M","S2801_C01_015E","S2801_C01_015M","S2801_C01_016E","S2801_C01_016M","S2801_C01_017E","S2801_C01_017M","S2801_C01_018E","S2801_C01_018M","S2801_C01_019E","S2801_C01_019M","S2801_C01_020E","S2801_C01_020M","S2801_C01_021E","S2801_C01_021M","S2801_C01_022E","S2801_C01_022M","S2801_C01_023E","S2801_C01_023M","S2801_C01_024E","S2801_C01_024M","S2801_C01_025E","S2801_C01_025M","S2801_C01_026E","S2801_C01_026M","S2801_C01_027E","S2801_C01_027M","S2801_C01_028E","S2801_C01_028M","S2801_C01_029E","S2801_C01_029M","S2801_C01_030E","S2801_C01_030M","S2801_C01_031E","S2801_C01_031M","S2801_C02_001E","S2801_C02_001M","S2801_C02_002E","S2801_C02_002M","S2801_C02_003E","S2801_C02_003M","S2801_C02_004E","S2801_C02_004M","S2801_C02_005E","S2801_C02_005M","S2801_C02_006E","S2801_C02_006M","S2801_C02_007E","S2801_C02_007M","S2801_C02_008E","S2801_C02_008M","S2801_C02_009E","S2801_C02_009M","S2801_C02_010E","S2801_C02_010M","S2801_C02_011E","S2801_C02_011M","S2801_C02_012E","S2801_C02_012M","S2801_C02_013E","S2801_C02_013M","S2801_C02_014E","S2801_C02_014M","S2801_C02_015E","S2801_C02_015M","S2801_C02_016E","S2801_C02_016M","S2801_C02_017E","S2801_C02_017M","S2801_C02_018E","S2801_C02_018M","S2801_C02_019E","S2801_C02_019M","S2801_C02_020E","S2801_C02_020M","S2801_C02_021E","S2801_C02_021M","S2801_C02_022E","S2801_C02_022M","S2801_C02_023E","S2801_C02_023M","S2801_C02_024E","S2801_C02_024M","S2801_C02_025E","S2801_C02_025M","S2801_C02_026E","S2801_C02_026M","S2801_C02_027E","S2801_C02_027M","S2801_C02_028E","S2801_C02_028M","S2801_C02_029E","S2801_C02_029M","S2801_C02_030E","S2801_C02_030M","S2801_C02_031E","S2801_C02_031M",
"0500000US13265","Taliaferro County, Georgia","644","101","507","88","359","97","28","15","441","98","83","42","303","88","27","31","0","14","0","14","137","58","431","83","0","14","431","83","316","89","120","79","274","59","61","29","213","64","117","47","0","14","34","19","83","40","384","101","0","14","262","86","122","53","143","38","0","14","135","39","8","8","(X)","(X)","78.7","7.9","55.7","10.5","4.3","2.4","68.5","9.1","12.9","6.6","47.0","9.7","4.2","4.9","0.0","7.1","0.0","7.1","21.3","7.9","66.9","8.2","0.0","7.1","66.9","8.2","49.1","10.4","18.6","10.7","42.5","9.5","9.5","4.9","33.1","8.2","(X)","(X)","0.0","32.1","29.1","14.3","70.9","14.3","(X)","(X)","0.0","11.6","68.2","12.1","31.8","12.1","(X)","(X)","0.0","27.6","94.4","5.8","5.6","5.8",
"0500000US13267","Tattnall County, Georgia","7551","302","6610","320","5043","329","161","71","6295","327","1198","243","4015","303","58","42","81","77","0","27","941","211","5980","369","17","21","5963","369","5423","369","859","198","4454","414","854","243","1571","301","1524","290","6","12","749","182","769","225","3725","370","6","12","3150","338","569","180","2302","289","5","9","2064","279","233","124","(X)","(X)","87.5","2.7","66.8","3.9","2.1","0.9","83.4","2.9","15.9","3.1","53.2","3.7","0.8","0.5","1.1","1.0","0.0","0.6","12.5","2.7","79.2","3.9","0.2","0.3","79.0","3.9","71.8","3.9","11.4","2.6","59.0","4.5","11.3","3.3","20.8","3.9","(X)","(X)","0.4","0.8","49.1","9.6","50.5","9.5","(X)","(X)","0.2","0.3","84.6","4.4","15.3","4.4","(X)","(X)","0.2","0.4","89.7","5.2","10.1","5.1",
"0500000US13269","Taylor County, Georgia","3061","190","2648","217","1877","226","33","37","2598","206","606","169","1415","231","3","5","30","27","0","20","413","124","2273","231","0","20","2273","231","2184","232","642","158","1484","216","214","101","788","185","923","182","0","20","497","143","426","141","1324","220","0","20","999","207","325","121","814","159","0","20","777","156","37","40","(X)","(X)","86.5","4.1","61.3","6.1","1.1","1.2","84.9","4.2","19.8","5.4","46.2","6.9","0.1","0.2","1.0","0.9","0.0","1.5","13.5","4.1","74.3","5.9","0.0","1.5","74.3","5.9","71.3","5.9","21.0","5.0","48.5","6.5","7.0","3.2","25.7","5.9","(X)","(X)","0.0","5.0","53.8","12.0","46.2","12.0","(X)","(X)","0.0","3.5","75.5","8.4","24.5","8.4","(X)","(X)","0.0","5.7","95.5","4.9","4.5","4.9",
"0500000US13271","Telfair County, Georgia","3123","233","2504","290","1831","269","200","114","2265","272","430","124","1266","183","0","23","58","58","0","23","619","179","2413","265","63","63","2350","266","1916","255","411","136","1686","225","395","154","710","164","838","185","47","58","526","145","265","134","1424","227","16","23","1047","228","361","100","861","155","0","23","777","154","84","47","(X)","(X)","80.2","5.9","58.6","6.6","6.4","3.6","72.5","5.9","13.8","3.7","40.5","5.5","0.0","1.5","1.9","1.9","0.0","1.5","19.8","5.9","77.3","5.3","2.0","2.0","75.2","5.6","61.4","6.5","13.2","4.1","54.0","5.9","12.6","4.8","22.7","5.3","(X)","(X)","5.6","6.8","62.8","14.1","31.6","13.4","(X)","(X)","1.1","1.6","73.5","7.7","25.4","7.3","(X)","(X)","0.0","5.4","90.2","5.5","9.8","5.5",
"0500000US13273","Terrell County, Georgia","3355","190","2846","216","2094","184","173","79","2593","233","565","164","1406","205","32","31","30","27","0","20","509","141","2591","211","3","4","2588","211","2410","215","427","128","1984","209","287","101","764","175","873","209","0","20","452","163","421","170","1374","252","0","20","1078","236","296","121","1108","163","3","4","1058","153","47","32","(X)","(X)","84.8","4.1","62.4","4.5","5.2","2.4","77.3","4.9","16.8","4.7","41.9","5.4","1.0","0.9","0.9","0.8","0.0","1.4","15.2","4.1","77.2","4.9","0.1","0.1","77.1","4.9","71.8","5.0","12.7","3.8","59.1","5.4","8.6","3.0","22.8","4.9","(X)","(X)","0.0","5.3","51.8","14.7","48.2","14.7","(X)","(X)","0.0","3.4","78.5","8.2","21.5","8.2","(X)","(X)","0.3","0.4","95.5","2.6","4.2","2.6",
"0500000US13275","Thomas County, Georgia","18369","352","16658","388","12372","528","346","105","15927","410","2632","406","10505","482","176","95","273","112","0","30","1711","349","15502","403","28","28","15474","407","14350","427","2468","358","12176","529","1073","282","2867","385","3005","433","11","21","2011","317","983","256","7606","498","17","19","6203","441","1386","293","7758","422","0","30","7260","437","498","170","(X)","(X)","90.7","1.8","67.4","3.0","1.9","0.6","86.7","1.9","14.3","2.2","57.2","2.8","1.0","0.5","1.5","0.6","0.0","0.3","9.3","1.8","84.4","2.0","0.2","0.2","84.2","2.0","78.1","2.2","13.4","1.9","66.3","2.8","5.8","1.5","15.6","2.0","(X)","(X)","0.4","0.7","66.9","6.3","32.7","6.3","(X)","(X)","0.2","0.3","81.6","3.5","18.2","3.5","(X)","(X)","0.0","0.6","93.6","2.2","6.4","2.2",
"0500000US13277","Tift County, Georgia","15541","326","13267","555","9904","566","488","153","12298","557","2407","388","6225","489","302","154","235","107","27","43","2274","430","11517","565","26","35","11491","563","9977","602","3781","500","7078","596","778","219","4024","482","2411","364","0","30","1251","290","1160","283","7655","561","0","30","5464","554","2191","377","5475","472","26","35","4776","456","673","191","(X)","(X)","85.4","2.8","63.7","3.3","3.1","1.0","79.1","2.9","15.5","2.5","40.1","3.0","1.9","1.0","1.5","0.7","0.2","0.3","14.6","2.8","74.1","3.1","0.2","0.2","73.9","3.1","64.2","3.6","24.3","3.2","45.5","3.5","5.0","1.4","25.9","3.1","(X)","(X)","0.0","1.9","51.9","9.2","48.1","9.2","(X)","(X)","0.0","0.6","71.4","4.6","28.6","4.6","(X)","(X)","0.5","0.6","87.2","3.4","12.3","3.3",
"0500000US13279","Toombs County, Georgia","10127","375","9352","385","6492","440","297","125","8865","437","2073","365","5440","389","65","50","111","67","8","13","775","212","8311","398","15","19","8296","396","7589","404","2022","308","5654","394","1036","236","1816","319","1848","352","13","17","1128","286","707","206","4597","463","2","7","3778","416","817","210","3682","366","0","27","3390","377","292","135","(X)","(X)","92.3","2.0","64.1","4.2","2.9","1.3","87.5","2.6","20.5","3.4","53.7","3.7","0.6","0.5","1.1","0.7","0.1","0.1","7.7","2.0","82.1","3.0","0.1","0.2","81.9","3.0","74.9","3.2","20.0","3.0","55.8","3.5","10.2","2.3","17.9","3.0","(X)","(X)","0.7","1.0","61.0","9.1","38.3","9.1","(X)","(X)","0.0","0.1","82.2","4.1","17.8","4.1","(X)","(X)","0.0","1.3","92.1","3.7","7.9","3.7",
"0500000US13281","Towns County, Georgia","5819","294","5332","328","4403","360","168","66","4887","346","464","155","3575","319","62","48","133","54","0","23","487","139","5094","341","0","23","5094","341","4504","358","574","147","4341","330","303","107","725","188","880","206","0","23","596","162","284","132","2780","293","0","23","2388","279","392","119","2159","244","0","23","2110","244","49","29","(X)","(X)","91.6","2.4","75.7","4.1","2.9","1.1","84.0","3.3","8.0","2.7","61.4","3.9","1.1","0.8","2.3","0.9","0.0","0.8","8.4","2.4","87.5","3.3","0.0","0.8","87.5","3.3","77.4","3.9","9.9","2.6","74.6","3.6","5.2","1.8","12.5","3.3","(X)","(X)","0.0","5.3","67.7","11.9","32.3","11.9","(X)","(X)","0.0","1.7","85.9","4.0","14.1","4.0","(X)","(X)","0.0","2.2","97.7","1.4","2.3","1.4",
"0500000US13283","Treutlen County, Georgia","2307","193","1901","184","1194","171","53","47","1780","175","548","171","978","168","50","37","22","20","0","20","406","130","1688","182","0","20","1688","182","1464","179","514","118","1032","191","117","56","619","152","511","146","0","20","300","124","211","105","1065","167","0","20","702","167","363","106","731","148","0","20","686","143","45","36","(X)","(X)","82.4","5.2","51.8","6.9","2.3","2.0","77.2","5.5","23.8","7.1","42.4","6.8","2.2","1.6","1.0","0.9","0.0","2.0","17.6","5.2","73.2","5.9","0.0","2.0","73.2","5.9","63.5","6.6","22.3","5.2","44.7","7.3","5.1","2.5","26.8","5.9","(X)","(X)","0.0","8.9","58.7","17.4","41.3","17.4","(X)","(X)","0.0","4.4","65.9","9.7","34.1","9.7","(X)","(X)","0.0","6.3","93.8","4.8","6.2","4.8",
"0500000US13285","Troup County, Georgia","26222","538","24021","604","18149","853","951","267","22422","622","3533","589","15073","667","233","113","1267","356","12","19","2201","414","22576","721","7","13","22569","722","18771","865","3433","556","17371","772","2409","463","3646","572","4827","625","0","34","3067","480","1760","485","11668","801","7","13","10352","782","1309","302","9727","662","0","34","9150","626","577","197","(X)","(X)","91.6","1.5","69.2","2.7","3.6","1.0","85.5","1.6","13.5","2.3","57.5","2.4","0.9","0.4","4.8","1.4","0.0","0.1","8.4","1.5","86.1","2.2","0.0","0.1","86.1","2.2","71.6","2.7","13.1","2.1","66.2","2.6","9.2","1.8","13.9","2.2","(X)","(X)","0.0","1.0","63.5","8.0","36.5","8.0","(X)","(X)","0.1","0.1","88.7","2.5","11.2","2.5","(X)","(X)","0.0","0.5","94.1","1.9","5.9","1.9",
"0500000US13287","Turner County, Georgia","3298","220","2824","263","1711","275","62","37","2699","251","724","184","1516","220","35","34","59","47","0","20","474","152","2313","256","8","14","2305","256","2213","253","456","150","1721","222","166","75","985","178","735","200","0","20","407","139","328","132","1661","271","8","14","1121","262","532","144","902","183","0","20","777","178","125","84","(X)","(X)","85.6","4.6","51.9","7.2","1.9","1.1","81.8","4.6","22.0","5.4","46.0","5.7","1.1","1.0","1.8","1.4","0.0","1.4","14.4","4.6","70.1","5.4","0.2","0.4","69.9","5.4","67.1","5.5","13.8","4.5","52.2","5.1","5.0","2.3","29.9","5.4","(X)","(X)","0.0","6.3","55.4","12.8","44.6","12.8","(X)","(X)","0.5","0.8","67.5","8.7","32.0","8.6","(X)","(X)","0.0","5.1","86.1","8.9","13.9","8.9",
"0500000US13289","Twiggs County, Georgia","2849","214","2361","236","1596","199","64","40","2163","232","509","155","1331","196","53","48","63","61","0","20","488","144","2075","206","2","3","2073","206","1806","222","587","162","1265","165","266","90","774","160","641","168","0","20","364","144","277","112","1229","190","2","3","837","165","390","119","979","197","0","20","872","185","107","74","(X)","(X)","82.9","5.0","56.0","6.2","2.2","1.4","75.9","5.4","17.9","5.1","46.7","5.9","1.9","1.7","2.2","2.1","0.0","1.7","17.1","5.0","72.8","5.1","0.1","0.1","72.8","5.1","63.4","6.6","20.6","5.2","44.4","5.6","9.3","3.2","27.2","5.1","(X)","(X)","0.0","7.1","56.8","15.2","43.2","15.2","(X)","(X)","0.2","0.3","68.1","8.2","31.7","8.3","(X)","(X)","0.0","4.7","89.1","7.2","10.9","7.2",
"0500000US13291","Union County, Georgia","11012","341","10077","368","8326","434","529","168","9304","392","728","215","6782","403","85","52","171","83","0","27","935","274","9766","362","39","28","9727","370","8441","432","950","210","8301","421","883","195","1246","269","1312","358","0","27","968","270","344","179","4837","412","23","28","4173","376","641","226","4863","371","16","24","4586","397","261","134","(X)","(X)","91.5","2.4","75.6","3.9","4.8","1.5","84.5","2.7","6.6","1.9","61.6","3.7","0.8","0.5","1.6","0.8","0.0","0.4","8.5","2.4","88.7","2.4","0.4","0.3","88.3","2.4","76.7","3.2","8.6","1.9","75.4","3.1","8.0","1.8","11.3","2.4","(X)","(X)","0.0","3.6","73.8","10.3","26.2","10.3","(X)","(X)","0.5","0.6","86.3","4.4","13.3","4.3","(X)","(X)","0.3","0.5","94.3","2.8","5.4","2.8",
"0500000US13293","Upson County, Georgia","10377","345","9308","393","7143","496","447","145","8690","385","1460","282","5467","428","85","65","202","127","0","27","1069","254","8635","439","0","27","8635","439","8061","467","1064","342","7242","399","812","272","1742","294","2098","390","0","27","1417","342","681","184","4680","463","0","27","3894","469","786","221","3599","349","0","27","3324","332","275","99","(X)","(X)","89.7","2.4","68.8","4.4","4.3","1.4","83.7","2.5","14.1","2.6","52.7","3.9","0.8","0.6","1.9","1.2","0.0","0.5","10.3","2.4","83.2","2.8","0.0","0.5","83.2","2.8","77.7","3.2","10.3","3.2","69.8","3.3","7.8","2.6","16.8","2.8","(X)","(X)","0.0","2.2","67.5","7.9","32.5","7.9","(X)","(X)","0.0","1.0","83.2","4.6","16.8","4.6","(X)","(X)","0.0","1.3","92.4","2.6","7.6","2.6",
"0500000US13295","Walker County, Georgia","26181","587","24312","661","18970","808","939","254","22868","714","3728","579","14403","735","178","101","435","159","0","34","1869","364","22592","691","83","55","22509","697","20306","718","3410","462","18523","748","1211","281","3589","501","3732","556","3","6","2319","429","1410","376","13024","715","63","46","11178","679","1783","424","9425","599","17","26","9012","603","396","190","(X)","(X)","92.9","1.4","72.5","2.8","3.6","1.0","87.3","1.7","14.2","2.1","55.0","2.6","0.7","0.4","1.7","0.6","0.0","0.2","7.1","1.4","86.3","1.9","0.3","0.2","86.0","1.8","77.6","2.3","13.0","1.7","70.7","2.6","4.6","1.1","13.7","1.9","(X)","(X)","0.1","0.2","62.1","7.8","37.8","7.8","(X)","(X)","0.5","0.4","85.8","3.0","13.7","3.1","(X)","(X)","0.2","0.3","95.6","2.0","4.2","2.0",
"0500000US13297","Walton County, Georgia","34951","454","33241","583","28339","760","977","273","31040","662","2991","428","23739","799","606","283","823","271","0","34","1710","325","31612","633","32","32","31580","630","29867","659","3383","504","27157","749","2975","470","3339","455","3212","534","0","34","2340","446","872","277","12677","755","24","27","10744","746","1909","375","19062","705","8","16","18496","731","558","215","(X)","(X)","95.1","0.9","81.1","1.7","2.8","0.8","88.8","1.4","8.6","1.2","67.9","2.0","1.7","0.8","2.4","0.8","0.0","0.1","4.9","0.9","90.4","1.3","0.1","0.1","90.4","1.3","85.5","1.4","9.7","1.5","77.7","1.8","8.5","1.3","9.6","1.3","(X)","(X)","0.0","1.5","72.9","7.1","27.1","7.1","(X)","(X)","0.2","0.2","84.8","2.8","15.1","2.9","(X)","(X)","0.0","0.1","97.0","1.1","2.9","1.1",
"0500000US13299","Ware County, Georgia","12866","394","11860","422","6861","577","310","133","11323","458","3391","509","6340","548","180","103","215","145","3","5","1006","259","9323","647","9","15","9314","647","7341","552","1325","283","7264","618","888","207","3543","557","3238","435","0","30","1658","330","1580","348","6094","490","9","15","4630","530","1455","347","3534","435","0","30","3026","444","508","218","(X)","(X)","92.2","2.0","53.3","4.0","2.4","1.0","88.0","2.4","26.4","4.0","49.3","3.8","1.4","0.8","1.7","1.1","0.0","0.1","7.8","2.0","72.5","4.3","0.1","0.1","72.4","4.3","57.1","4.0","10.3","2.2","56.5","4.3","6.9","1.6","27.5","4.3","(X)","(X)","0.0","1.5","51.2","8.1","48.8","8.1","(X)","(X)","0.1","0.2","76.0","5.6","23.9","5.6","(X)","(X)","0.0","1.3","85.6","6.0","14.4","6.0",
"0500000US13301","Warren County, Georgia","1999","143","1599","147","1096","152","71","46","1456","150","364","116","834","143","56","42","1","4","0","20","400","90","1237","143","0","20","1237","143","1015","138","314","99","607","127","345","94","762","133","505","130","0","20","300","95","205","84","919","157","0","20","479","123","440","99","575","114","0","20","458","110","117","63","(X)","(X)","80.0","4.4","54.8","6.9","3.6","2.3","72.8","5.1","18.2","5.5","41.7","6.5","2.8","2.1","0.1","0.2","0.0","2.3","20.0","4.4","61.9","5.9","0.0","2.3","61.9","5.9","50.8","5.8","15.7","4.9","30.4","5.9","17.3","4.6","38.1","5.9","(X)","(X)","0.0","9.0","59.4","12.0","40.6","12.0","(X)","(X)","0.0","5.0","52.1","8.5","47.9","8.5","(X)","(X)","0.0","7.9","79.7","10.3","20.3","10.3",
"0500000US13303","Washington County, Georgia","7272","262","6379","286","4372","299","296","98","5577","335","1372","252","3695","289","214","142","115","80","11","20","893","161","5873","296","16","18","5857","294","5014","343","1373","245","3572","279","1168","201","1399","222","1458","251","0","23","1009","224","449","125","3520","332","10","16","2736","338","774","182","2294","288","6","9","2112","268","176","89","(X)","(X)","87.7","2.2","60.1","3.9","4.1","1.4","76.7","3.6","18.9","3.2","50.8","4.0","2.9","1.9","1.6","1.1","0.2","0.3","12.3","2.2","80.8","2.9","0.2","0.2","80.5","2.9","68.9","3.8","18.9","3.3","49.1","3.4","16.1","2.8","19.2","2.9","(X)","(X)","0.0","3.2","69.2","8.0","30.8","8.0","(X)","(X)","0.3","0.4","77.7","5.1","22.0","5.1","(X)","(X)","0.3","0.4","92.1","3.6","7.7","3.6",
"0500000US13305","Wayne County, Georgia","11045","343","10288","367","6579","501","212","93","9893","381","2618","482","5985","502","157","99","150","99","0","30","757","224","9284","381","48","65","9236","383","8240","426","2158","392","6410","425","946","204","1761","309","2283","374","0","30","1436","315","847","223","5077","496","48","65","4247","491","782","222","3685","363","0","30","3553","364","132","121","(X)","(X)","93.1","2.0","59.6","4.3","1.9","0.8","89.6","2.3","23.7","4.2","54.2","4.4","1.4","0.9","1.4","0.9","0.0","0.4","6.9","2.0","84.1","2.7","0.4","0.6","83.6","2.8","74.6","3.5","19.5","3.4","58.0","4.0","8.6","1.8","15.9","2.7","(X)","(X)","0.0","2.1","62.9","8.3","37.1","8.3","(X)","(X)","0.9","1.3","83.7","4.3","15.4","4.3","(X)","(X)","0.0","1.3","96.4","3.2","3.6","3.2",
"0500000US13307","Webster County, Georgia","849","137","705","107","479","96","24","27","645","101","144","65","441","79","8","10","28","19","0","14","144","89","607","112","3","5","604","110","564","105","139","57","340","100","213","74","242","111","205","105","3","5","77","54","125","83","365","100","0","14","269","88","96","61","279","74","0","14","258","70","21","24","(X)","(X)","83.0","9.0","56.4","10.0","2.8","3.1","76.0","9.4","17.0","7.0","51.9","9.6","0.9","1.2","3.3","2.2","0.0","5.4","17.0","9.0","71.5","10.9","0.4","0.6","71.1","10.9","66.4","10.5","16.4","5.6","40.0","11.3","25.1","9.0","28.5","10.9","(X)","(X)","1.5","2.5","37.6","21.1","61.0","21.7","(X)","(X)","0.0","12.2","73.7","14.8","26.3","14.8","(X)","(X)","0.0","15.6","92.5","8.2","7.5","8.2",
"0500000US13309","Wheeler County, Georgia","1545","159","1265","167","932","188","75","58","1157","159","269","112","553","170","21","28","31","39","0","20","280","108","1196","172","0","20","1196","172","1030","175","322","93","841","175","110","73","349","115","483","132","0","20","311","109","172","91","606","166","0","20","480","156","126","76","456","105","0","20","405","105","51","54","(X)","(X)","81.9","6.7","60.3","9.7","4.9","3.6","74.9","7.2","17.4","7.3","35.8","10.2","1.4","1.8","2.0","2.5","0.0","3.0","18.1","6.7","77.4","7.3","0.0","3.0","77.4","7.3","66.7","8.5","20.8","6.0","54.4","8.9","7.1","4.6","22.6","7.3","(X)","(X)","0.0","9.4","64.4","15.3","35.6","15.3","(X)","(X)","0.0","7.5","79.2","11.6","20.8","11.6","(X)","(X)","0.0","9.9","88.8","11.5","11.2","11.5",
"0500000US13311","White County, Georgia","10422","384","9933","404","8122","394","347","207","9163","428","845","204","6566","456","219","151","195","118","0","27","489","175","9062","407","29","31","9033","407","8122","436","853","200","7649","473","1095","213","1360","296","1280","321","7","12","890","245","383","165","4211","377","22","28","3451","383","738","231","4931","437","0","27","4692","436","239","112","(X)","(X)","95.3","1.7","77.9","2.8","3.3","2.0","87.9","2.8","8.1","2.0","63.0","3.5","2.1","1.4","1.9","1.1","0.0","0.5","4.7","1.7","87.0","2.7","0.3","0.3","86.7","2.8","77.9","3.2","8.2","1.9","73.4","3.8","10.5","2.0","13.0","2.7","(X)","(X)","0.5","1.0","69.5","10.1","29.9","10.0","(X)","(X)","0.5","0.7","82.0","5.4","17.5","5.3","(X)","(X)","0.0","1.0","95.2","2.3","4.8","2.3",
"0500000US13313","Whitfield County, Georgia","36101","506","33518","573","24824","900","1154","324","31429","625","5638","649","18849","894","264","114","1957","424","16","25","2583","402","31570","725","96","85","31474","723","26195","907","7014","661","23521","1026","1844","389","4531","576","4081","545","10","16","2598","450","1473","369","16640","752","63","79","14382","771","2195","380","15380","698","23","27","14494","685","863","280","(X)","(X)","92.8","1.1","68.8","2.3","3.2","0.9","87.1","1.5","15.6","1.8","52.2","2.4","0.7","0.3","5.4","1.2","0.0","0.1","7.2","1.1","87.4","1.6","0.3","0.2","87.2","1.6","72.6","2.3","19.4","1.8","65.2","2.7","5.1","1.1","12.6","1.6","(X)","(X)","0.2","0.4","63.7","7.4","36.1","7.4","(X)","(X)","0.4","0.5","86.4","2.3","13.2","2.2","(X)","(X)","0.1","0.2","94.2","1.8","5.6","1.8",
"0500000US13315","Wilcox County, Georgia","2504","154","2096","136","1326","132","139","63","1912","150","613","127","984","110","32","19","26","21","0","20","408","92","1795","164","0","20","1795","164","1290","154","414","82","1114","133","313","100","709","141","597","128","0","20","283","80","314","97","1097","132","0","20","850","129","247","73","810","130","0","20","662","114","148","86","(X)","(X)","83.7","3.3","53.0","4.7","5.6","2.5","76.4","4.5","24.5","4.6","39.3","4.4","1.3","0.8","1.0","0.8","0.0","1.9","16.3","3.3","71.7","5.2","0.0","1.9","71.7","5.2","51.5","5.7","16.5","3.2","44.5","4.6","12.5","3.8","28.3","5.2","(X)","(X)","0.0","7.6","47.4","10.2","52.6","10.2","(X)","(X)","0.0","4.2","77.5","6.4","22.5","6.4","(X)","(X)","0.0","5.7","81.7","9.5","18.3","9.5",
"0500000US13317","Wilkes County, Georgia","4108","186","3208","212","2332","226","287","117","2826","245","595","159","1653","195","66","63","13","20","0","20","900","189","2525","251","0","20","2525","251","2245","224","498","143","1876","227","347","117","1583","261","808","201","0","20","288","123","520","169","1995","246","0","20","1295","219","700","167","1305","224","0","20","942","160","363","157","(X)","(X)","78.1","4.3","56.8","5.5","7.0","2.9","68.8","4.9","14.5","3.7","40.2","4.7","1.6","1.5","0.3","0.5","0.0","1.1","21.9","4.3","61.5","5.9","0.0","1.1","61.5","5.9","54.6","5.3","12.1","3.3","45.7","5.7","8.4","2.8","38.5","5.9","(X)","(X)","0.0","5.7","35.6","12.8","64.4","12.8","(X)","(X)","0.0","2.3","64.9","7.2","35.1","7.2","(X)","(X)","0.0","3.6","72.2","9.4","27.8","9.4",
"0500000US13319","Wilkinson County, Georgia","3347","164","2987","173","2016","176","243","80","2699","193","727","150","1586","151","35","36","45","32","0","20","360","89","2596","200","0","20","2596","200","2134","215","356","122","2068","197","310","86","751","152","842","146","0","20","545","145","297","98","1521","181","0","20","1149","174","372","96","984","156","0","20","902","140","82","57","(X)","(X)","89.2","2.6","60.2","4.6","7.3","2.4","80.6","3.4","21.7","4.1","47.4","4.6","1.0","1.1","1.3","1.0","0.0","1.4","10.8","2.6","77.6","4.4","0.0","1.4","77.6","4.4","63.8","5.0","10.6","3.6","61.8","4.9","9.3","2.6","22.4","4.4","(X)","(X)","0.0","5.5","64.7","11.2","35.3","11.2","(X)","(X)","0.0","3.1","75.5","6.0","24.5","6.0","(X)","(X)","0.0","4.7","91.7","5.3","8.3","5.3",
"0500000US13321","Worth County, Georgia","7876","253","7059","267","5002","323","276","151","6645","304","1401","276","3842","389","60","74","200","127","1","4","817","142","5845","323","0","27","5845","323","5414","315","1743","248","3060","331","1032","250","2031","228","1409","266","0","27","732","203","677","173","3613","384","0","27","2639","345","974","190","2854","325","0","27","2474","320","380","134","(X)","(X)","89.6","1.8","63.5","3.7","3.5","1.9","84.4","2.7","17.8","3.4","48.8","4.7","0.8","0.9","2.5","1.6","0.0","0.1","10.4","1.8","74.2","2.9","0.0","0.6","74.2","2.9","68.7","3.2","22.1","2.9","38.9","4.2","13.1","3.1","25.8","2.9","(X)","(X)","0.0","3.3","52.0","9.5","48.0","9.5","(X)","(X)","0.0","1.3","73.0","4.8","27.0","4.8","(X)","(X)","0.0","1.6","86.7","4.6","13.3","4.6",
"0500000US15001","Hawaii County, Hawaii","72958","1042","69093","1092","57450","1089","2529","415","64620","1095","6652","636","48733","1143","496","154","1638","309","11","16","3865","484","65587","1081","205","152","65382","1085","60144","1151","8008","700","54172","1113","4685","545","7371","588","10121","785","4","7","8075","727","2042","362","25237","1025","25","20","21590","993","3622","402","37600","1267","176","151","35717","1215","1707","367","(X)","(X)","94.7","0.7","78.7","1.1","3.5","0.6","88.6","0.9","9.1","0.8","66.8","1.4","0.7","0.2","2.2","0.4","0.0","0.1","5.3","0.7","89.9","0.8","0.3","0.2","89.6","0.8","82.4","1.1","11.0","0.9","74.3","1.2","6.4","0.8","10.1","0.8","(X)","(X)","0.0","0.1","79.8","3.3","20.2","3.3","(X)","(X)","0.1","0.1","85.5","1.5","14.4","1.5","(X)","(X)","0.5","0.4","95.0","1.0","4.5","1.0",
"0500000US15003","Honolulu County, Hawaii","337061","1356","322377","1644","279280","2030","8534","722","307906","1616","24842","1337","233973","1998","2255","462","8808","532","32","28","14684","857","308940","1946","398","136","308542","1927","290785","1942","33971","1271","269252","2295","14812","854","28121","1426","26933","1156","21","27","20133","989","6779","740","92668","1947","211","91","81168","1775","11289","736","217460","2063","166","96","207241","2071","10053","792","(X)","(X)","95.6","0.3","82.9","0.5","2.5","0.2","91.4","0.4","7.4","0.4","69.4","0.5","0.7","0.1","2.6","0.2","0.0","0.1","4.4","0.3","91.7","0.4","0.1","0.1","91.5","0.4","86.3","0.5","10.1","0.4","79.9","0.6","4.4","0.3","8.3","0.4","(X)","(X)","0.1","0.1","74.8","2.4","25.2","2.4","(X)","(X)","0.2","0.1","87.6","0.7","12.2","0.7","(X)","(X)","0.1","0.1","95.3","0.4","4.6","0.4",
